patient_id,dataset,is_lesion,fg_voxels,fg_pct,bbox_size,dist_to_center
Unknown,Unknown,True,392,0.00934600830078125,0,106.4868611328484
Unknown,Unknown,True,43221,1.0304689407348633,0,59.78634024992812
Unknown,Unknown,True,21,0.0005006790161132812,0,153.4668166250212
Unknown,Unknown,True,60707,1.4473676681518555,0,21.456270904510163
Unknown,Unknown,True,546,0.013017654418945312,0,56.659494002982385
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,5737,0.1367807388305664,0,57.037353203827074
Unknown,Unknown,True,664,0.01583099365234375,0,6.989476825934181
Unknown,Unknown,True,2827,0.06740093231201172,0,122.71347417976082
Unknown,Unknown,True,14754,0.3517627716064453,0,47.432195960390395
